database;vecchio codice;nuovo codice
FurmaNet;11/00160;11/00160PR
FurmaNet;11/00240;11/00240PR
FurmaNet;11/00264;11/00264PR
FurmaNet;12/00048;12/00048CS
FurmaNet;12/00166;12/00166CA
FurmaNet;12/00168;12/00168CA
FurmaNet;12/00281;12/00281CS
FurmaNet;12/00351;12/00351CA
FurmaNet;12/00361;12/00361CA
FurmaNet;12/00362;12/00362CA
FurmaNet;12/00604;12/00604CA
FurmaNet;12/00760;12/00760CA
FurmaNet;12/00882;12/00882CS
FurmaNet;12/00896;12/00896CA
FurmaNet;12/00965;12/00965CA
FurmaNet;12/00995;12/00995PR
FurmaNet;12/01043;12/01043GO
FurmaNet;12/01078;12/01078CA
FurmaNet;12/01197;12/01197CA
FurmaNet;12/01270;12/01270CS
FurmaNet;12/01404;12/01404CA
FurmaNet;13/00490;13/00490CA
FurmaNet;13/00846;13/00846CA
FurmaNet;14/00117;14/00117BR
FurmaNet;14/00130;14/00130BR
FurmaNet;14/00274;14/00274BR
FurmaNet;14/00693;14/00693CA
FurmaNet;14/00730;14/00730CA
FurmaNet;14/00732;14/00732CA
FurmaNet;14/00826;14/00826BR
FurmaNet;14/00989;14/00989BR
FurmaNet;14/00991;14/00991BR
FurmaNet;14/01102;14/01102BR
FurmaNet;14/01259;14/01259BR
FurmaNet;14/01290;14/01290BR
FurmaNet;14/01404;14/01404BR
FurmaNet;14/01458;14/01458CA
FurmaNet;15/00150;15/00150BR
FurmaNet;15/00446;15/00446BR
FurmaNet;15/00493;15/00493BR
FurmaNet;15/00524;15/00524GO
FurmaNet;15/00591;15/00591BR
FurmaNet;15/00815;15/00815BR
FurmaNet;15/01179;15/01179BR
FurmaNet;15/01335;15/01335FE
FurmaNet;15/01535;15/01535GO
FurmaNet;16/00438;16/00438BR
FurmaNet;16/00910;16/00910GO
FurmaNet;16/01614;16/01614CA
FurmaNet;16/01639;16/01639GO
FurmaNet;17/00042;17/00042CA
FurmaNet;17/00231;17/00231CS
FurmaNet;17/00531;17/00531CA
FurmaNet;17/00671;17/00671CA
FurmaNet;17/00850;17/00850CA
FurmaNet;17/00851;17/00851CA
FurmaNet;17/01049;17/01049BR
FurmaNet;17/01218;17/01218CA
FurmaNet;17/01232;17/01232GO
FurmaNet;17/01677;17/01677GO
FurmaNet;18/00500;18/00500CA
FurmaNet;18/00684;18/00684CA
FurmaNet;18/00685;18/00685CA
FurmaNet;18/01116;18/01116VG
FurmaNet;18/01390;18/01390BR
FurmaNet;19/01277;19/01277BR
FurmaNet;19/01366;19/01366GO
FurmaNet;19/01748;19/01748GO
FurmaNet;20/00994;20/00994GO
FurmaNet;20/01313;20/01313GO
FurmaNet;20/01582;20/01582TA
FurmaNet;21/00442;21/00442PR
FurmaNet;21/01188;21/01188FE
FurmaNet;21/01367;21/01367PR
FurmaNet;21/01384;21/01384CA
FurmaNet;21/01471;21/01471PR
FurmaNet;21/01801;21/01801PR
FurmaNet;21/02106;21/02106PR
FurmaNet;21/02238;21/02238PR
FurmaNet;22/00353;22/00353GO
FurmaNet;22/00670;22/00670PR
FurmaNet;22/01050;22/01050PR
FurmaNet;22/01626;22/01626GO
FurmaNet;22/02276;22/02276SN
FurmaNet;22/02913;22/02913GO
FurmaNet;24/01279;24/01279PR
FurmaNet;24/01854;24/01854GO
VEDBondife;10/00001;10/00001CM
VEDBondife;10/00002;10/00002CM
VEDBondife;10/00003;10/00003CM
VEDBondife;11/00002;11/00002CM
VEDBondife;12/00001;12/00001CM
VEDBondife;12/00002;12/00002CM
VEDBondife;12/00003;12/00003CM
VEDBondife;12/00004;12/00004CM
VEDBondife;12/00005;12/00005CM
VEDBondife;12/00006;12/00006CM
VEDBondife;12/00007;12/00007CM
VEDBondife;12/00008;12/00008CM
VEDBondife;12/00009;12/00009CM
VEDBondife;12/00010;12/00010CM
VEDBondife;12/00011;12/00011CM
VEDBondife;12/00012;12/00012CM
VEDBondife;12/00013;12/00013CM
VEDBondife;12/00014;12/00014CM
VEDBondife;12/00015;12/00015CM
VEDBondife;12/00016;12/00016CM
VEDBondife;12/00017;12/00017CM
VEDBondife;12/00018;12/00018CM
VEDBondife;12/00019;12/00019CM
VEDBondife;12/00020;12/00020CM
VEDBondife;12/00021;12/00021CM
VEDBondife;13/00001;13/00001CM
VEDBondife;13/00002;13/00002CM
VEDBondife;13/00003;13/00003CM
VEDBondife;13/00004;13/00004CM
VEDBondife;13/00005;13/00005CM
VEDBondife;13/00006;13/00006CM
VEDBondife;13/00007;13/00007CM
VEDBondife;13/00008;13/00008CM
VEDBondife;13/00009;13/00009CM
VEDBondife;13/00010;13/00010CM
VEDBondife;13/00011;13/00011CM
VEDBondife;14/00001;14/00001CM
VEDBondife;14/00002;14/00002CM
VEDBondife;14/00003;14/00003CM
VEDBondife;14/00004;14/00004CM
VEDBondife;14/00005;14/00005CM
VEDBondife;14/00006;14/00006CM
VEDBondife;14/00007;14/00007CM
VEDBondife;14/00008;14/00008CM
VEDBondife;14/00009;14/00009CM
VEDBondife;14/00010;14/00010CM
VEDBondife;14/00011;14/00011CM
VEDBondife;14/00012;14/00012CM
VEDBondife;14/00013;14/00013CM
VEDBondife;14/00014;14/00014CM
VEDBondife;14/00015;14/00015CM
VEDBondife;14/00016;14/00016CM
VEDBondife;14/00017;14/00017CM
VEDBondife;14/00018;14/00018CM
VEDBondife;15/00001;15/00001CM
VEDBondife;15/00002;15/00002CM
VEDBondife;15/00003;15/00003CM
VEDBondife;15/00004;15/00004CM
VEDBondife;15/00005;15/00005CM
VEDBondife;15/00006;15/00006CM
VEDBondife;16/00001;16/00001CM
VEDBondife;16/00002;16/00002CM
VEDBondife;16/00003;16/00003CM
VEDBondife;16/00004;16/00004CM
VEDBondife;16/00005;16/00005CM
VEDBondife;16/00006;16/00006CM
VEDBondife;16/00007;16/00007CM
VEDBondife;16/00008;16/00008CM
VEDBondife;16/00009;16/00009CM
VEDBondife;17/00001;17/00001CM
VEDBondife;17/00002;17/00002CM
VEDBondife;17/00003;17/00003CM
VEDBondife;17/00004;17/00004CM
VEDBondife;17/00005;17/00005CM
VEDBondife;17/00006;17/00006CM
VEDBondife;17/00007;17/00007CM
VEDBondife;17/00008;17/00008CM
VEDBondife;17/00009;17/00009CM
VEDBondife;17/00010;17/00010CM
VEDBondife;18/00001;18/00001CM
VEDBondife;18/00002;18/00002CM
VEDBondife;18/00003;18/00003CM
VEDBondife;18/00004;18/00004CM
VEDBondife;18/00005;18/00005CM
VEDBondife;18/00006;18/00006CM
VEDBondife;18/00007;18/00007CM
VEDBondife;18/00008;18/00008CM
VEDBondife;19/00001;19/00001CM
VEDBondife;19/00002;19/00002CM
VEDBondife;19/00003;19/00003CM
VEDBondife;19/00004;19/00004CM
VEDBondife;20/00001;20/00001CM
VEDBondife;20/00002;20/00002CM
VEDBondife;20/00003;20/00003CM
VEDBondife;21/00001;21/00001CM
VEDBondife;21/00002;21/00002CM
VEDBondife;21/00003;21/00003CM
VEDBondife;21/00004;21/00004CM
VEDBondife;21/00005;21/00005CM
VEDBondife;21/00006;21/00006CM
VEDBondife;21/00007;21/00007CM
VEDBondife;21/00008;21/00008CM
VEDBondife;21/00009;21/00009CM
VEDBondife;22/00001;22/00001CM
VEDBondife;22/00002;22/00002CM
VEDBondife;22/00003;22/00003CM
VEDBondife;22/00004;22/00004CM
VEDBondife;22/00005;22/00005CM
VEDBondife;22/00006;22/00006CM
VEDBondife;22/00007;22/00007CM
VEDBondife;22/00008;22/00008CM
VEDBondife;22/00009;22/00009CM
VEDBondife;22/00010;22/00010CM
VEDBondife;22/00011;22/00011CM
VEDBondife;23/00001;23/00001CM
VEDBondife;23/00002;23/00002CM
VEDBondife;23/00003;23/00003CM
VEDBondife;23/00004;23/00004CM
VEDBondife;23/00005;23/00005CM
VEDBondife;23/00006;23/00006CM
VEDBondife;23/00007;23/00007CM
VEDBondife;23/00008;23/00008CM
VEDBondife;23/00009;23/00009CM
VEDBondife;23/00010;23/00010CM
VEDBondife;23/00011;23/00011CM
VEDBondife;23/00012;23/00012CM
VEDBondife;23/00013;23/00013CM
VEDBondife;23/00014;23/00014CM
VEDBondife;23/00015;23/00015CM
VEDBondife;23/00016;23/00016CM
VEDBondife;23/00017;23/00017CM
VEDBondife;23/00018;23/00018CM
VEDBondife;23/00019;23/00019CM
VEDBondife;23/00020;23/00020CM
VEDBondife;23/00021;23/00021CM
VEDBondife;23/00022;23/00022CM
VEDBondife;24/00001;24/00001CM
VEDBondife;24/00002;24/0002CM
VEDBondife;24/00003;24/00003CM
VEDBondife;24/00004;24/00004CM
VEDBondife;24/00005;24/00005CM
VEDBondife;24/00006;24/00006CM
VEDBondife;24/00007;24/00007CM
VEDBondife;24/00008;24/00008CM
VEDBondife;24/00009;24/00009CM
VEDBondife;24/00010;24/00010CM
VEDBondife;24/00011;24/00011CM
VEDBondife;24/00012;24/00012CM
